,Word,Freq,word_rank,Prob. Per cent,Prob
39,first,121,41.0,0.24071458412079494,0.0024071458412079495
40,ya,121,41.0,0.24071458412079494,0.0024071458412079495
41,me,121,41.0,0.24071458412079494,0.0024071458412079495
42,año,118,43.0,0.23474645393598187,0.0023474645393598186
43,kpop,116,44.0,0.2307677004794398,0.002307677004794398
44,lo,113,45.0,0.2247995702946267,0.0022479957029462668
45,cuz,111,46.0,0.22082081683808463,0.0022082081683808463
46,sharing,110,47.0,0.2188314401098136,0.002188314401098136
47,spending,109,48.0,0.21684206338154258,0.002168420633815426
48,tl,106,49.0,0.21087393319672945,0.0021087393319672945
49,músicas,104,51.0,0.2068951797401874,0.002068951797401874
50,million,104,51.0,0.2068951797401874,0.002068951797401874
51,exo,104,51.0,0.2068951797401874,0.002068951797401874
52,twitter,101,53.0,0.2009270495553743,0.002009270495553743
53,retrospectiva,100,54.0,0.19893767282710326,0.0019893767282710326
54,stans,99,56.0,0.19694829609883222,0.001969482960988322
55,los,99,56.0,0.19694829609883222,0.001969482960988322
56,weareoneexo,99,56.0,0.19694829609883222,0.001969482960988322
57,us,98,58.0,0.1949589193705612,0.001949589193705612
58,obsession,95,59.0,0.1889907891857481,0.001889907891857481
59,listened,94,60.0,0.1870014124574771,0.0018700141245747708
60,my,93,61.0,0.18501203572920602,0.0018501203572920603
61,es,92,62.0,0.183022659000935,0.00183022659000935
62,results,91,63.5,0.18103328227266396,0.0018103328227266396
63,day,91,63.5,0.18103328227266396,0.0018103328227266396
64,blackpink,90,65.5,0.17904390554439295,0.0017904390554439294
65,stream,90,65.5,0.17904390554439295,0.0017904390554439294
66,know,88,67.5,0.17506515208785087,0.0017506515208785087
67,one,88,67.5,0.17506515208785087,0.0017506515208785087
68,female,86,69.0,0.1710863986313088,0.001710863986313088
69,right,85,70.0,0.16909702190303777,0.0016909702190303778
70,con,84,71.5,0.16710764517476676,0.0016710764517476676
71,two,84,71.5,0.16710764517476676,0.0016710764517476676
72,logging,83,73.0,0.16511826844649571,0.001651182684464957
73,thanks,82,74.5,0.1631288917182247,0.0016312889171822469
74,billion,82,74.5,0.1631288917182247,0.0016312889171822469
75,like,81,76.0,0.16113951498995363,0.0016113951498995364
76,ano,80,77.5,0.15915013826168262,0.0015915013826168262
77,get,80,77.5,0.15915013826168262,0.0015915013826168262
78,this,79,79.5,0.15716076153341157,0.0015716076153341157
79,mom,79,79.5,0.15716076153341157,0.0015716076153341157
80,premium,77,82.0,0.15318200807686952,0.0015318200807686953
81,no,77,82.0,0.15318200807686952,0.0015318200807686953
82,new,77,82.0,0.15318200807686952,0.0015318200807686953
83,listening,76,84.5,0.15119263134859848,0.0015119263134859848
84,artista,76,84.5,0.15119263134859848,0.0015119263134859848
85,groups,75,86.0,0.14920325462032746,0.0014920325462032746
