type,year,gender,paper_key,pos,name,global_key_x,conf_key,link_x,title_x,pages,citations,l0,l1,l2,global_key_y,publisher,title_y,link_y,cs,de,se,th
de,2008,M,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861
de,2009,-,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165
de,2009,F,489,489,489,489,489,489,489,489,489,489,489,489,489,489,489,489,489,489,489,489
de,2009,M,1630,1630,1630,1630,1630,1630,1630,1630,1630,1630,1630,1630,1630,1630,1630,1630,1630,1630,1630,1630
de,2010,-,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157
de,2010,F,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511
de,2010,M,1811,1811,1811,1811,1811,1811,1811,1811,1811,1811,1811,1811,1811,1811,1811,1811,1811,1811,1811,1811
de,2011,-,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163
de,2011,F,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519
de,2011,M,1675,1675,1675,1675,1675,1675,1675,1675,1675,1675,1675,1675,1675,1675,1675,1675,1675,1675,1675,1675
de,2012,-,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170
de,2012,F,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484
de,2012,M,1739,1739,1739,1739,1739,1739,1739,1739,1739,1739,1739,1739,1739,1739,1739,1739,1739,1739,1739,1739
de,2013,-,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178
de,2013,F,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505
de,2013,M,1754,1754,1754,1754,1754,1754,1754,1754,1754,1754,1754,1754,1754,1754,1754,1754,1754,1754,1754,1754
de,2014,-,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185
de,2014,F,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581
de,2014,M,1958,1958,1958,1958,1958,1958,1958,1958,1958,1958,1958,1958,1958,1958,1958,1958,1958,1958,1958,1958
de,2015,-,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190
de,2015,F,608,608,608,608,608,608,608,608,608,608,608,608,608,608,608,608,608,608,608,608
de,2015,M,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010
de,2016,-,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207
de,2016,F,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603
de,2016,M,1820,1820,1820,1820,1820,1820,1820,1820,1820,1820,1820,1820,1820,1820,1820,1820,1820,1820,1820,1820
se,2000,-,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
se,2000,F,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78
se,2000,M,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379
se,2001,-,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
se,2001,F,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135
se,2001,M,611,611,611,611,611,611,611,611,611,611,611,611,611,611,611,611,611,611,611,611
se,2002,-,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
se,2002,F,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114
se,2002,M,589,589,589,589,589,589,589,589,589,589,589,589,589,589,589,589,589,589,589,589
se,2003,-,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
se,2003,F,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
se,2003,M,593,593,593,593,593,593,593,593,593,593,593,593,593,593,593,593,593,593,593,593
se,2004,-,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
se,2004,F,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176
se,2004,M,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657
se,2005,-,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
se,2005,F,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203
se,2005,M,891,891,891,891,891,891,891,891,891,891,891,891,891,891,891,891,891,891,891,891
se,2006,-,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46
se,2006,F,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177
se,2006,M,816,816,816,816,816,816,816,816,816,816,816,816,816,816,816,816,816,816,816,816
se,2007,-,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41
se,2007,F,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190
se,2007,M,861,861,861,861,861,861,861,861,861,861,861,861,861,861,861,861,861,861,861,861
se,2008,-,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38
se,2008,F,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224
se,2008,M,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992
se,2009,-,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52
se,2009,F,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213
se,2009,M,1088,1088,1088,1088,1088,1088,1088,1088,1088,1088,1088,1088,1088,1088,1088,1088,1088,1088,1088,1088
se,2010,-,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
se,2010,F,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229
se,2010,M,979,979,979,979,979,979,979,979,979,979,979,979,979,979,979,979,979,979,979,979
se,2011,-,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59
se,2011,F,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283
se,2011,M,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118
se,2012,-,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49
