year,publisher,paper_key,pos,name,global_key_x,conf_key,link_x,title_x,pages,citations,l0,l1,l2,gender,global_key_y,title_y,link_y,cs,de,se,th,type
2007,IEEE Computer Society,5606,5606,5606,5606,5606,5606,5606,5606,5606,5606,5606,5606,5606,5606,5606,5606,5606,5606,5606,5606,5606
2007,SIAM,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373
2007,Springer,3305,3305,3305,3305,3305,3305,3305,3305,3305,3305,3305,3305,3305,3305,3305,3305,3305,3305,3305,3305,3305
2007,The Association for Computational Linguistics,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519
2007,USENIX,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116
2007,USENIX Association,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
2007,\N,1322,1322,1322,1322,1322,1322,1322,1322,1322,1322,1322,1322,1322,1322,1322,1322,1322,1322,1322,1322,1322
2008,AAAI Press,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024
2008,ACM,9651,9651,9651,9651,9651,9651,9651,9651,9651,9651,9651,9651,9651,9651,9651,9651,9651,9651,9651,9651,9651
2008,CEUR-WS.org,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175
2008,IEEE,1109,1109,1109,1109,1109,1109,1109,1109,1109,1109,1109,1109,1109,1109,1109,1109,1109,1109,1109,1109,1109
2008,IEEE Computer Society,4801,4801,4801,4801,4801,4801,4801,4801,4801,4801,4801,4801,4801,4801,4801,4801,4801,4801,4801,4801,4801
2008,Omnipress,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129
2008,SIAM,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368
2008,Schloss Dagstuhl - Leibniz-Zentrum fuer Informatik,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83
