year,publisher,gender,paper_key,pos,name,global_key_x,conf_key,link_x,title_x,pages,citations,l0,l1,l2,global_key_y,title_y,link_y,cs,de,se,th,type
2002,Springer,-,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139
2002,Springer,F,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393
2002,Springer,M,2333,2333,2333,2333,2333,2333,2333,2333,2333,2333,2333,2333,2333,2333,2333,2333,2333,2333,2333,2333
2002,USENIX Association,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2002,USENIX Association,F,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
2002,USENIX Association,M,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101
2002,University of Alberta,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2002,University of Alberta,F,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
2002,University of Alberta,M,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
2002,\N,F,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
2002,\N,M,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
2003,AAAI Press,-,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
2003,AAAI Press,F,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
2003,AAAI Press,M,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215
2003,ACL,-,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
2003,ACL,F,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41
2003,ACL,M,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133
2003,ACM,-,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273
2003,ACM,F,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743,743
2003,ACM,M,2879,2879,2879,2879,2879,2879,2879,2879,2879,2879,2879,2879,2879,2879,2879,2879,2879,2879,2879,2879
2003,ACM/SIAM,-,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
2003,ACM/SIAM,F,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43
2003,ACM/SIAM,M,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226
2003,CEUR-WS.org,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2003,CEUR-WS.org,F,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2003,CEUR-WS.org,M,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
2003,IEEE,-,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49
2003,IEEE,F,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92
2003,IEEE,M,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493
2003,IEEE Computer Society,-,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230
2003,IEEE Computer Society,F,515,515,515,515,515,515,515,515,515,515,515,515,515,515,515,515,515,515,515,515
2003,IEEE Computer Society,M,2493,2493,2493,2493,2493,2493,2493,2493,2493,2493,2493,2493,2493,2493,2493,2493,2493,2493,2493,2493
2003,IFIP,F,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
2003,IFIP,M,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
2003,Morgan Kaufmann,-,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43
2003,Morgan Kaufmann,F,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125
2003,Morgan Kaufmann,M,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560
2003,Springer,-,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138
2003,Springer,F,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397
2003,Springer,M,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007
2003,The Association for Computer Linguistics,-,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
2003,The Association for Computer Linguistics,F,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
2003,The Association for Computer Linguistics,M,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
2003,\N,-,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91
2003,\N,F,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161
2003,\N,M,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645
2004,AAAI Press / The MIT Press,-,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
2004,AAAI Press / The MIT Press,F,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2004,AAAI Press / The MIT Press,M,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413
2004,ACL,-,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
2004,ACL,F,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57
2004,ACL,M,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153
2004,ACM,-,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388
2004,ACM,F,1093,1093,1093,1093,1093,1093,1093,1093,1093,1093,1093,1093,1093,1093,1093,1093,1093,1093,1093,1093
2004,ACM,M,4140,4140,4140,4140,4140,4140,4140,4140,4140,4140,4140,4140,4140,4140,4140,4140,4140,4140,4140,4140
2004,CEUR-WS.org,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
